"Gene","role","WT_crush_l2fc","WT_crush_padj","KO_crush_l2fc","KO_crush_padj","Atf3_dependence","dependence_padj","pct_cells_detected","pct_retained_in_KO"
"Sprr1a","reference",8.073,0.0341,0.216,0.97,7.857,0.613,16.64,2.7
"Npy","panel",7.204,0.0113,1.399,0.703,5.805,0.553,6.774,19.4
"Gal","panel",3.554,0.000165,-0.307,0.726,3.861,0.00887,15.329,-8.6
"Sez6l","panel",4.407,0.000391,1.695,0.108,2.713,0.229,7.668,38.5
"Mmp16","panel",2.644,0.000165,0.14,0.824,2.504,0.014,9.27,5.3
"Csf1","panel",2.977,7.36e-05,0.549,0.242,2.428,0.00887,11.468,18.4
"Cdh22","panel",2.291,0.0736,0.47,0.784,1.821,0.95,0.413,20.5
"Cryba2","panel",2.915,0.0882,1.203,0.596,1.713,1,1.144,41.3
"Gap43","panel",1.799,0.00858,0.17,0.842,1.629,0.375,39.998,9.4
"Tnik","panel",1.345,0.0143,-0.212,0.758,1.557,0.249,17.429,-15.8
"Chl1","panel",1.942,0.00736,0.495,0.573,1.447,0.553,21.941,25.5
"Ngf","panel",1.961,0.0209,0.582,0.59,1.379,0.834,0.668,29.7
"Il2ra","panel",0.357,0.813,-0.976,0.462,1.333,1,0.376,NA
"Flrt3","panel",2.942,0.000425,1.651,0.0287,1.29,0.582,26.984,56.1
"Ptpn5","panel",0.838,0.328,-0.421,0.721,1.259,0.912,3.256,NA
"Fosl1","panel",2.827,0.047,1.586,0.385,1.241,1,0.347,56.1
"Gadd45a","panel",2.819,0.00122,1.714,0.047,1.105,0.875,23.884,60.8
"Itga7","panel",2.512,0.00105,1.445,0.0551,1.067,0.83,34.485,57.5
"Rnf122","panel",1.806,0.0816,0.813,0.554,0.993,1,9.041,45
"Sox11","reference",3.064,0.000498,2.084,0.0151,0.979,0.89,27.441,68
"Tubb6","panel",3.798,0.00102,2.832,0.0189,0.965,1,8.365,74.6
"Insyn2a","panel",1.658,0.12,0.846,0.547,0.812,1,0.88,51
"Lamb3","panel",-0.056,0.98,-0.685,0.675,0.63,1,3.032,NA
"Adcyap1","panel",0.877,0.451,0.307,0.838,0.57,1,17.862,NA
"Pvr","panel",0.879,0.0606,0.356,0.57,0.523,1,8.149,NA
"Nfil3","panel",1.979,0.0032,1.561,0.0297,0.419,1,1.518,78.9
"Vgf","panel",2.023,0.0271,1.657,0.125,0.365,1,30.851,81.9
"Acp7","panel",-0.692,0.582,-1.01,0.478,0.318,1,0.173,NA
"Mmp12","panel",-0.319,0.847,-0.603,0.678,0.285,1,1.688,NA
"Cdkn1a","panel",2.518,0.00736,2.324,0.0287,0.194,1,30.255,92.3
"Sdc1","panel",2.491,0.00122,2.303,0.00663,0.188,1,10.219,92.5
"Socs3","panel",1.073,0.173,0.906,0.377,0.167,1,5.791,84.4
"Celf3","panel",0.002,0.998,-0.117,0.805,0.119,1,7.63,NA
"Stmn4","panel",2.376,0.000164,2.308,0.000343,0.068,1,15.321,97.1
"Scin","panel",-0.665,0.561,-0.731,0.588,0.066,1,1.86,NA
"Mlph","panel",-0.527,0.583,-0.577,0.607,0.049,1,0.374,NA
"Sema6a","panel",3.996,0.000143,4.003,0.000247,-0.007,1,16.029,100.2
"Nkain1","panel",1.586,0.324,1.626,0.422,-0.04,1,0.359,102.5
"Ccbe1","panel",-0.368,0.861,-0.27,0.887,-0.097,1,0.73,NA
"Jun","panel",1.582,0.0149,2.107,0.0113,-0.525,1,34.817,133.2
"Ecel1","panel",3.81,0.0252,4.359,0.0322,-0.548,1,3.381,114.4
"Vwc2","panel",-0.165,0.92,0.429,0.735,-0.594,1,1.557,NA
"Mchr1","panel",1.789,0.23,2.556,0.151,-0.767,1,1.262,142.9
"Atf3","panel",4.731,0.000504,5.989,0.000343,-1.258,1,16.878,126.6
"Pdyn","panel",NA,NA,NA,NA,NA,NA,0.142,NA
"Gfap","panel",NA,NA,NA,NA,NA,NA,0.321,NA
"Crybg1","panel",NA,NA,NA,NA,NA,NA,NA,NA
"Pappa2","panel",NA,NA,NA,NA,NA,NA,0.018,NA
"Ano7","panel",NA,NA,NA,NA,NA,NA,0.049,NA
