"celltype","inj","time","n","pct"
"B cell","Crush",0,58,0
"cLTMR1","Crush",0,926,0.647948164146868
"Endothelial","Crush",0,528,0.378787878787879
"Fibroblast","Crush",0,1384,1.22832369942197
"Macrophage","Crush",0,159,0
"Neutrophil","Crush",0,52,0
"NF1","Crush",0,1509,0.331345261762757
"NF2","Crush",0,1548,0.839793281653747
"NF3","Crush",0,374,0.267379679144385
"NP","Crush",0,3042,0.591715976331361
"p_cLTMR2","Crush",0,562,1.06761565836299
"PEP1","Crush",0,1759,1.70551449687322
"PEP2","Crush",0,812,0.369458128078818
"Pericyte","Crush",0,171,1.16959064327485
"Satglia","Crush",0,1552,1.28865979381443
"Schwann_M","Crush",0,1075,0.558139534883721
"Schwann_N","Crush",0,658,3.64741641337386
"SST","Crush",0,659,1.82094081942337
"cLTMR1","Crush",6,114,1.75438596491228
"Endothelial","Crush",6,127,0.78740157480315
"Fibroblast","Crush",6,466,0.429184549356223
"Macrophage","Crush",6,62,1.61290322580645
"NF1","Crush",6,495,0.606060606060606
"NF2","Crush",6,557,1.07719928186715
"NF3","Crush",6,81,1.23456790123457
"NP","Crush",6,540,0.37037037037037
"p_cLTMR2","Crush",6,101,2.97029702970297
"PEP1","Crush",6,270,10.3703703703704
"PEP2","Crush",6,162,0.617283950617284
"Pericyte","Crush",6,40,0
"Satglia","Crush",6,303,0.66006600660066
"Schwann_M","Crush",6,343,0.583090379008746
"Schwann_N","Crush",6,232,3.87931034482759
"SST","Crush",6,118,0.847457627118644
"cLTMR1","Crush",24,149,38.255033557047
"Endothelial","Crush",24,113,13.2743362831858
"Fibroblast","Crush",24,425,12.7058823529412
"Macrophage","Crush",24,81,19.7530864197531
"NF1","Crush",24,722,42.797783933518
"NF2","Crush",24,779,55.0706033376123
"NF3","Crush",24,151,38.4105960264901
"NP","Crush",24,527,45.1612903225806
"p_cLTMR2","Crush",24,65,43.0769230769231
"PEP1","Crush",24,356,46.9101123595506
"PEP2","Crush",24,185,27.027027027027
"Pericyte","Crush",24,51,13.7254901960784
"Satglia","Crush",24,459,15.0326797385621
"Schwann_M","Crush",24,515,11.0679611650485
"Schwann_N","Crush",24,246,24.390243902439
"SST","Crush",24,147,4.76190476190476
"B cell","Crush",72,75,40
"cLTMR1","Crush",72,278,51.4388489208633
"Endothelial","Crush",72,550,37.2727272727273
"Fibroblast","Crush",72,2330,36.9957081545064
"Macrophage","Crush",72,713,37.5876577840112
"Neutrophil","Crush",72,102,38.2352941176471
"NF1","Crush",72,974,43.7371663244353
"NF2","Crush",72,1575,61.3333333333333
"NF3","Crush",72,243,39.917695473251
"NP","Crush",72,1181,62.4047417442845
"p_cLTMR2","Crush",72,194,63.9175257731959
"PEP1","Crush",72,389,41.1311053984576
"PEP2","Crush",72,320,51.5625
"Pericyte","Crush",72,292,35.958904109589
"Repair schwann_N","Crush",72,99,45.4545454545455
"Satglia","Crush",72,1327,31.7256970610399
"Schwann_M","Crush",72,1636,30.0122249388753
"Schwann_N","Crush",72,1834,44.3838604143948
"SST","Crush",72,212,33.4905660377358
"B cell","Crush",168,71,14.0845070422535
"cLTMR1","Crush",168,697,37.5896700143472
"Endothelial","Crush",168,578,30.4498269896194
"Fibroblast","Crush",168,2184,28.9377289377289
"Macrophage","Crush",168,623,30.4975922953451
