"inj","time","n","r","mean_identity","mean_panel"
"Naive",0,11191,-0.125265005780154,3.42536920721187e-17,-0.0585953469043116
"Crush",6,2438,-0.073913769493718,0.0194761205739043,-0.0390168969667098
"Crush",24,3081,-0.157951859513494,-0.26975693929959,0.132127996995655
"Crush",72,5366,-0.552467952594544,-1.0305526286374,0.220640343084223
"Crush",168,10672,-0.601629770149769,-0.810363898732427,0.184631172219571
"Crush",336,6693,-0.294314102971969,-0.373991411288497,0.00707856646421311
"Crush",672,7588,-0.319142122787802,-0.36324765907605,0.0103432725694396
"Crush",1440,6155,-0.130554669421485,-0.0231871051970883,-0.043938535535659
"Crush",2160,3188,-0.0939481072848132,-0.0233223366350165,-0.0427646342714336
"ScNT",6,767,-0.0405401161593172,-0.0884822475684954,-0.032813629057067
"ScNT",12,2087,0.022517403546086,-0.150193918459531,0.0354450581019984
"ScNT",24,655,-0.2183532270856,-0.323372487758454,0.102315698703593
"ScNT",72,1252,-0.589160289729262,-0.971956946241347,0.194282020809556
"ScNT",168,2670,-0.600793735901596,-0.938362133555131,0.150973586947538
"ScNT",672,1639,-0.427887672661867,-0.130633449814497,0.0465651777967348
"ScNT",1440,1359,-0.181507382991033,-0.0932994385265173,-0.000401417023275299
"SpNT",6,1507,-0.00224775422561027,-0.100946296067695,0.0237223913977583
"SpNT",12,1997,0.0386204370316195,-0.106752642313289,0.132266543206416
"SpNT",24,2532,-0.0287938489512834,-0.463007686629257,0.309211552178988
"SpNT",36,1750,-0.199596016672709,-1.21045893945914,0.403010274863778
"SpNT",48,1724,-0.309531474304328,-1.42549630625695,0.449478680433504
"SpNT",72,2091,-0.335140157500268,-1.72352060920707,0.445232940033662
"SpNT",168,967,-0.501095538899057,-1.80173251822821,0.393532534579156
"CFA",48,1233,-0.0441139108127075,0.00336348133218712,-0.0443058115910553
"Paclitaxel",168,2732,-0.181479411746383,0.196390492180383,-0.0454490634530642
