"contrast","pathway","Direction","score","pval","padj","size","coarse"
"MINP female","CT: Schwann_M","Up",21.4316848049162,3.70096684998795e-22,7.77203038497469e-21,49,FALSE
"MINP female","CT: Schwann_N","Up",15.6533622123266,2.2214563683278e-16,2.33252918674419e-15,50,FALSE
"MINP female","CT: Satglia","Up",13.1388436733373,7.26367370272478e-14,5.08457159190735e-13,49,FALSE
"MINP female","CT: Repair schwann_N","Up",12.4661999765187,3.41822009899203e-13,1.79456555197082e-12,48,FALSE
"MINP female","CT: Pericyte","Up",9.22756605293565,5.92153017991065e-10,2.48704267556247e-09,48,FALSE
"MINP female","CT: Fibroblast","Up",8.75153710454174,1.77199664571603e-09,6.20198826000609e-09,49,FALSE
"MINP female","CT: Endothelial","Up",7.68471463252145,2.06673772776712e-08,6.20021318330137e-08,48,FALSE
"MINP female","CT: p_cLTMR2","Down",-6.48930414851559,3.24112552805428e-07,8.5079545111425e-07,41,FALSE
"MINP female","CT: NP","Down",-6.02582598792108,9.4226706622044e-07,2.19862315451436e-06,47,FALSE
"MINP female","CT: Macrophage","Up",3.80803852736005,0.000155582760408769,0.000326723796858414,50,FALSE
"MINP female","CT: cLTMR1","Down",-3.54046933394417,0.000288091646757074,0.00054999314380896,47,FALSE
"MINP female","CT: PEP2","Down",-3.27101804385805,0.000535774396954203,0.000937605194669856,47,FALSE
"MINP female","CT: NF3","Down",-2.94411527799372,0.00113732535707936,0.00170598803561904,48,FALSE
"MINP female","CT: SST","Down",-2.95650843006718,0.00110532901369169,0.00170598803561904,50,FALSE
"MINP female","CT: PEP1","Down",-2.2609261690628,0.00548370181033125,0.00767718253446375,49,FALSE
"MINP female","CT: B cell","Up",1.97366455825491,0.0106251590974253,0.0139455213153707,50,FALSE
"MINP female","CT: Neutrophil","Down",-1.46654859612505,0.0341547730479323,0.0421911902356811,48,FALSE
"MINP female","REF: conserved injury panel","Down",-0.743914706696198,0.180337187946522,0.208284708357999,45,FALSE
"MINP female","REF: atlas injury program (top 100)","Down",-0.724808307268381,0.188448069466761,0.208284708357999,74,FALSE
"MINP female","CT: NF1","Down",-0.358594263310807,0.4379310482291,0.459827600640555,49,FALSE
"MINP female","CT: NF2","Down",-0.18557147687604,0.652271680253882,0.652271680253882,49,FALSE
"MINP male","CT: Schwann_M","Down",-14.6938906968484,2.02352839583274e-15,4.24940963124876e-14,49,FALSE
"MINP male","CT: Satglia","Down",-9.26244889089613,5.46450854107046e-10,3.82515597874932e-09,49,FALSE
"MINP male","CT: Fibroblast","Down",-9.37647936119875,4.20262499167759e-10,3.82515597874932e-09,49,FALSE
"MINP male","CT: Repair schwann_N","Down",-8.64576756331617,2.26064535575138e-09,1.18683881176948e-08,48,FALSE
"MINP male","CT: Schwann_N","Down",-8.51327765466202,3.06706051762962e-09,1.28816541740444e-08,50,FALSE
"MINP male","CT: NP","Up",7.1245468925698,7.50676996046727e-08,2.62736948616355e-07,47,FALSE
"MINP male","CT: Pericyte","Down",-6.92015967485453,1.20182248538607e-07,3.60546745615821e-07,48,FALSE
"MINP male","CT: Endothelial","Down",-6.13677559251721,7.29834530985889e-07,1.91581564383796e-06,48,FALSE
"MINP male","CT: NF3","Up",2.55485218506739,0.00278706960436278,0.00650316241017981,48,FALSE
"MINP male","CT: NF2","Up",2.47065646802399,0.00338332355206683,0.00710497945934034,49,FALSE
"MINP male","CT: SST","Up",2.29335294737437,0.00508917110410085,0.00971569028964708,50,FALSE
"MINP male","CT: PEP1","Down",-1.83327285603273,0.0146800367896556,0.023414207402879,49,FALSE
"MINP male","CT: cLTMR1","Up",1.87203121897391,0.0134266844082876,0.023414207402879,47,FALSE
"MINP male","CT: p_cLTMR2","Up",1.80661179804295,0.0156094716019193,0.023414207402879,41,FALSE
"MINP male","CT: Neutrophil","Down",-1.30346246363762,0.0497207345831422,0.0696090284163991,48,FALSE
"MINP male","REF: conserved injury panel","Down",-1.13522405126115,0.0732446568595642,0.096133612128178,45,FALSE
"MINP male","CT: NF1","Up",0.787986701669337,0.162934592332455,0.201272143469503,49,FALSE
"MINP male","REF: atlas injury program (top 100)","Down",-0.760469115363414,0.173592470790628,0.202524549255733,74,FALSE
"MINP male","CT: Macrophage","Down",-0.661112173115074,0.218216621138997,0.241186791785207,50,FALSE
"MINP male","CT: PEP2","Down",-0.635428785035719,0.231510778282817,0.243086317196958,47,FALSE
"MINP male","CT: B cell","Down",-0.40647864139818,0.392212434865166,0.392212434865166,50,FALSE
"MINP vs Sham","CT: Schwann_M","Up",14.527876724367,2.96567308417922e-15,6.22791347677635e-14,49,FALSE
"MINP vs Sham","CT: Schwann_N","Up",7.14553207986169,7.1526655780713e-08,7.51029885697487e-07,50,FALSE
"MINP vs Sham","CT: PEP1","Down",-5.66404064406363,2.16750124665622e-06,1.51725087265935e-05,49,FALSE
"MINP vs Sham","CT: PEP2","Down",-5.15103424984565,7.06261854008069e-06,3.70787473354236e-05,47,FALSE
"MINP vs Sham","CT: Repair schwann_N","Up",4.55072892714947,2.81365647762606e-05,0.000118173572060295,48,FALSE
"MINP vs Sham","CT: Neutrophil","Down",-2.93072559071535,0.00117293625208366,0.00410527688229279,48,FALSE
"MINP vs Sham","CT: p_cLTMR2","Down",-2.84198226381789,0.00143885733864945,0.00431657201594835,41,FALSE
"MINP vs Sham","CT: Satglia","Up",2.48400931545332,0.0032808825566794,0.00861231671128343,49,FALSE
"MINP vs Sham","REF: conserved injury panel","Down",-2.19657368449542,0.00635954896509881,0.0148389475852306,45,FALSE
"MINP vs Sham","REF: atlas injury program (top 100)","Down",-1.74925980388004,0.0178131283072148,0.0374075694451511,74,FALSE
"MINP vs Sham","CT: NF2","Up",1.69430796713247,0.0202158512276876,0.0385938977983127,49,FALSE
"MINP vs Sham","CT: Macrophage","Up",1.61592895207128,0.0242142514472243,0.0423749400326425,50,FALSE
"MINP vs Sham","CT: B cell","Up",1.01529808010833,0.0965388052811473,0.155947300838776,50,FALSE
"MINP vs Sham","CT: Endothelial","Up",0.543004021954387,0.286415144518593,0.42962271677789,48,FALSE
"MINP vs Sham","CT: cLTMR1","Down",-0.420382036550564,0.379855101537169,0.531797142152037,47,FALSE
"MINP vs Sham","CT: NF1","Up",0.316649322948491,0.482337110158436,0.562726628518175,49,FALSE
"MINP vs Sham","CT: NF3","Down",-0.322394623764974,0.475998272126975,0.562726628518175,48,FALSE
"MINP vs Sham","CT: Pericyte","Up",0.366268265502385,0.430260754537737,0.562726628518175,48,FALSE
"MINP vs Sham","CT: NP","Up",0.2760032904639,0.529659430873046,0.585413055175472,47,FALSE
"MINP vs Sham","CT: Fibroblast","Down",-0.16375051789704,0.685882120875727,0.720176226919513,49,FALSE
"MINP vs Sham","CT: SST","Down",-0.102170478281051,0.790368315328435,0.790368315328435,50,FALSE
"SNI vs Sham (control)","REF: atlas injury program (top 100)","Up",30.725880245032,1.87983510236039e-31,3.94765371495682e-30,88,TRUE
"SNI vs Sham (control)","REF: conserved injury panel","Up",11.816081342693,1.52727997424142e-12,1.6036439729535e-11,45,TRUE
"SNI vs Sham (control)","CT: Fibroblast","Down",-7.11030766420856,7.7569740004078e-08,5.42988180028546e-07,49,TRUE
"SNI vs Sham (control)","CT: Schwann_M","Down",-5.06158666449377,8.677873909813e-06,4.55588380265183e-05,49,TRUE
"SNI vs Sham (control)","CT: B cell","Down",-4.03360169425578,9.25546634043381e-05,0.00038872958629822,50,TRUE
"SNI vs Sham (control)","CT: SST","Up",2.81183560022994,0.00154228416558835,0.00539799457955923,50,TRUE
"SNI vs Sham (control)","CT: PEP2","Down",-2.63929093811955,0.00229461095080017,0.00688383285240051,47,TRUE
"SNI vs Sham (control)","CT: NF1","Down",-1.96112102805702,0.0109365154783128,0.022966682504457,49,TRUE
"SNI vs Sham (control)","CT: Satglia","Down",-1.99928424262394,0.0100164945111477,0.022966682504457,49,TRUE
"SNI vs Sham (control)","CT: Pericyte","Down",-2.00383687456009,0.00991204181387464,0.022966682504457,48,TRUE
"SNI vs Sham (control)","CT: Schwann_N","Down",-1.90631065369424,0.0124076446312313,0.0236873215687144,50,TRUE
"SNI vs Sham (control)","CT: NF2","Down",-1.85435467447394,0.0139844479077213,0.0244727838385123,49,TRUE
"SNI vs Sham (control)","CT: p_cLTMR2","Up",1.76625677432278,0.017129442388018,0.0276706377037214,41,TRUE
"SNI vs Sham (control)","CT: NP","Up",1.72076422119604,0.0190211065697864,0.0285316598546797,47,TRUE
"SNI vs Sham (control)","CT: Neutrophil","Down",-1.11249336969236,0.077180329849835,0.108052461789769,48,TRUE
