"celltype","injury","time","contrast","n_genes","r","rho","neuronal"
"NP","Crush",6,"MINP",11794,-0.00536164177535892,0.0317273330294946,TRUE
"NP","Crush",6,"SNI",11794,0.0243359928904714,-0.0289591587013469,TRUE
"NP","Crush",24,"MINP",11794,-0.0308382482609271,0.0565617112871294,TRUE
"NP","Crush",24,"SNI",11794,0.256631453677623,0.169015354992781,TRUE
"NP","Crush",72,"MINP",11794,-0.00573835086709498,0.0978271564127154,TRUE
"NP","Crush",72,"SNI",11794,0.354466010806827,0.182860256298177,TRUE
"NP","Crush",168,"MINP",11794,-0.0250422441313452,0.0782378050186576,TRUE
"NP","Crush",168,"SNI",11794,0.387256990563454,0.213397913134819,TRUE
"NP","Crush",336,"MINP",11794,0.0158024575881958,0.124371187186666,TRUE
"NP","Crush",336,"SNI",11794,0.153686330115043,-0.00676053147374234,TRUE
"NP","Crush",672,"MINP",11794,0.0389272858318514,0.141451184384918,TRUE
"NP","Crush",672,"SNI",11794,0.126111097624585,-0.0306775512499153,TRUE
"NP","Crush",1440,"MINP",11794,0.0186663717783713,0.0859066786440257,TRUE
"NP","Crush",1440,"SNI",11794,0.0452912108686134,-0.0622234106908188,TRUE
"NP","Crush",2160,"MINP",11794,0.0433809077767215,0.0755113115806762,TRUE
"NP","Crush",2160,"SNI",11794,0.00422548936329623,-0.0492188827961664,TRUE
"NP","ScNT",6,"MINP",11794,0.00345170073242707,0.0261333203066613,TRUE
"NP","ScNT",6,"SNI",11794,0.00831772787429201,-0.0166243784284285,TRUE
"NP","ScNT",12,"MINP",11794,-0.00429556357473349,0.0391127711022303,TRUE
"NP","ScNT",12,"SNI",11794,0.100391191516535,0.0495689431629565,TRUE
"NP","ScNT",24,"MINP",11794,-0.037452499762074,0.0421650384259201,TRUE
"NP","ScNT",24,"SNI",11794,0.239578118297212,0.155693294912049,TRUE
"NP","ScNT",72,"MINP",11794,-0.0428513824984155,0.0319776038571003,TRUE
"NP","ScNT",72,"SNI",11794,0.345752116833978,0.217497517355238,TRUE
"NP","ScNT",168,"MINP",11794,-0.0154369625439402,0.0656623613907304,TRUE
"NP","ScNT",168,"SNI",11794,0.286533568527557,0.127818307875473,TRUE
"NP","ScNT",672,"MINP",11794,0.019502642536546,0.07227458644993,TRUE
"NP","ScNT",672,"SNI",11794,0.147206368268142,0.0811471119614047,TRUE
"NP","ScNT",1440,"MINP",11794,-0.00779218440500683,0.00181552546169168,TRUE
"NP","ScNT",1440,"SNI",11794,0.0580830558694469,0.0327792756523461,TRUE
"NP","SpNT",6,"MINP",11794,-0.0466546766453834,-0.0623759105517707,TRUE
"NP","SpNT",6,"SNI",11794,0.134086994774086,0.111783503515631,TRUE
"NP","SpNT",12,"MINP",11794,-0.0309039706648876,-0.00699216714568558,TRUE
"NP","SpNT",12,"SNI",11794,0.198322566059369,0.156251472645471,TRUE
"NP","SpNT",24,"MINP",11794,-0.0397488991928866,0.0366022622699218,TRUE
"NP","SpNT",24,"SNI",11794,0.312062320728883,0.245064097921167,TRUE
"NP","SpNT",36,"MINP",11794,-0.0358463537925208,0.0208017221266525,TRUE
"NP","SpNT",36,"SNI",11794,0.362399540560854,0.295713552067471,TRUE
"NP","SpNT",48,"MINP",11794,-0.0430551260565,0.012670431980154,TRUE
"NP","SpNT",48,"SNI",11794,0.367139574495226,0.292726149622278,TRUE
"NP","SpNT",72,"MINP",11794,-0.0185935948048214,0.0511216503100688,TRUE
"NP","SpNT",72,"SNI",11794,0.299886934508104,0.216331859175516,TRUE
"NP","SpNT",168,"MINP",11794,0.000425982513144499,0.0519714745854097,TRUE
"NP","SpNT",168,"SNI",11794,0.232946942964499,0.143360073700471,TRUE
"NP","CFA",48,"MINP",11794,-0.0053700170065937,0.0301998926366796,TRUE
"NP","CFA",48,"SNI",11794,-0.00476869769439721,-0.0314667147480567,TRUE
"NP","Paclitaxel",168,"MINP",11794,0.0264593011774526,-0.000577670493020671,TRUE
"NP","Paclitaxel",168,"SNI",11794,0.0429641357028936,0.05479825869027,TRUE
"PEP1","Crush",6,"MINP",11709,-0.000776005475221585,0.00823736141656092,TRUE
"PEP1","Crush",6,"SNI",11709,0.0619705444585828,0.0250470686986674,TRUE
"PEP1","Crush",24,"MINP",11709,-0.0092549273649502,0.032459053014867,TRUE
"PEP1","Crush",24,"SNI",11709,0.263129510044628,0.173878626674585,TRUE
"PEP1","Crush",72,"MINP",11709,0.0134550391660777,0.0782242021026108,TRUE
"PEP1","Crush",72,"SNI",11709,0.319799629680204,0.153398482521369,TRUE
"PEP1","Crush",168,"MINP",11709,-0.0310763148077631,0.0373309955076512,TRUE
"PEP1","Crush",168,"SNI",11709,0.315363912086177,0.130104200661447,TRUE
"PEP1","Crush",336,"MINP",11709,0.0553657032218568,0.118160173974898,TRUE
"PEP1","Crush",336,"SNI",11709,0.108259988422279,0.000811706289555679,TRUE
"PEP1","Crush",672,"MINP",11709,0.0344004249743907,0.106855521177635,TRUE
"PEP1","Crush",672,"SNI",11709,0.0986963555951095,-0.00806967942768916,TRUE
"PEP1","Crush",1440,"MINP",11709,0.0464805488077115,0.0871148849231066,TRUE
"PEP1","Crush",1440,"SNI",11709,0.0416593137733736,-0.0476305139621181,TRUE
"PEP1","Crush",2160,"MINP",11709,0.0148713702181858,0.0396764308849608,TRUE
"PEP1","Crush",2160,"SNI",11709,0.0397581134306085,-0.000179648984501734,TRUE
"PEP1","ScNT",6,"MINP",11709,0.00846907142054247,0.0250165625066235,TRUE
