"gene","recruitment","level","total","driver","pct_recruitment"
"Sprr1a",6.95584672613472,0.587668032587976,7.5435147587227,"recruitment",92.2
"Npy",5.9819414566363,0.641673556981168,6.62361501361747,"recruitment",90.3
"Ecel1",5.17432759652865,0.110149851780014,5.28447744830866,"recruitment",97.9
"Atf3",4.24784822915841,0.537035753658321,4.78488398281673,"recruitment",88.8
"Gal",2.46963939100333,1.76404331569323,4.23368270669656,"mixed",58.3
"Sez6l",3.56872869249645,0.235437032805841,3.80416572530229,"recruitment",93.8
"Sox11",1.47331643498157,1.97082385372919,3.44414028871076,"mixed",42.8
"Cryba2",3.5346814139746,-0.117897309917674,3.41678410405692,"recruitment",96.8
"Flrt3",1.87053372639855,1.28933835929838,3.15987208569693,"mixed",59.2
"Tubb6",3.3043333365129,-0.174998596204475,3.12933474030843,"recruitment",95
"Gadd45a",1.80513718182012,1.20066550207079,3.00580268389092,"mixed",60.1
"Stmn4",1.96149586263353,1.01857417022703,2.98007003286056,"mixed",65.8
"Fosl1",3.22572291758154,-0.455107270610913,2.77061564697062,"recruitment",87.6
"Mmp16",1.90223727024351,0.76362539987021,2.66586267011372,"recruitment",71.4
"Sdc1",2.14287663526843,0.499796851448162,2.64267348671659,"recruitment",81.1
"Sema6a",2.37359663640431,0.125773596928671,2.49937023333298,"recruitment",95
"Itga7",1.38838361393083,1.00652269353774,2.39490630746858,"mixed",58
"Csf1",2.24680842206236,0.0992901782663147,2.34609860032868,"recruitment",95.8
"Gap43",1.12981459060917,0.840010902019173,1.96982549262835,"mixed",57.4
"Nkain1",1.3628416647545,0.605690857940527,1.96853252269503,"recruitment",69.2
"Vgf",1.1572359809594,0.702142670245243,1.85937865120464,"mixed",62.2
"Cdh22",2.09395149853496,-0.247947313652918,1.84600418488204,"recruitment",89.4
"Ngf",2.09600951853807,-0.284360052090006,1.81164946644806,"recruitment",88.1
"Fam196a",1.73775339598782,-0.0109916949431181,1.7267617010447,"recruitment",99.4
"Cdkn1a",1.34943613085326,0.337508251908132,1.68694438276139,"recruitment",80
"Nfil3",1.83269806659813,-0.172038501150901,1.66065956544722,"recruitment",91.4
"Rnf122",1.25265668632353,0.178186844509275,1.43084353083281,"recruitment",87.5
"Jun",0.957855413675779,0.418300627007909,1.37615604068369,"recruitment",69.6
"Socs3",1.03160995327503,0.204900809065081,1.23651076234011,"recruitment",83.4
"Tnik",0.74432690613266,0.490449356050723,1.23477626218338,"mixed",60.3
"Chl1",1.12899917924276,0.0979773164867339,1.2269764957295,"recruitment",92
"Ptpn5",0.94048149224622,0.219302132072819,1.15978362431904,"recruitment",81.1
"Adcyap1",0.834326461703284,0.165600461193358,0.999926922896642,"recruitment",83.4
"Mchr1",1.24343935075754,-0.256258501745303,0.987180849012233,"recruitment",82.9
"Gfap",1.14180437039634,-0.300461178473757,0.841343191922588,"recruitment",79.2
"Il2ra",0.261540907608631,0.502642443882085,0.764183351490717,"mixed",34.2
"Pvr",0.50796811766284,0.19692092098213,0.70488903864497,"recruitment",72.1
"Ano7",0.0482531933486143,0.250450440086898,0.298703633435513,"level",16.2
"Ccbe1",0.0309960200829228,0.243277356247849,0.274273376330772,"level",11.3
"Vwc2",0.085257707846365,0.154900801579413,0.240158509425778,"mixed",35.5
"Mmp12",-0.391923657478811,0.548615661161556,0.156692003682745,"mixed",41.7
"Pdyn",0.693396767704897,-0.570558330923904,0.122838436780993,"mixed",54.9
"Celf3",0.146923740149562,-0.0435371961638891,0.103386543985673,"recruitment",77.1
"Lamb3",-0.214619397249136,-0.0463256233050039,-0.26094502055414,"recruitment",82.2
"Mlph",-0.272175059773863,-0.00880272209627852,-0.280977781870141,"recruitment",96.9
"Acp7",-0.485496978288095,-0.0598871201607963,-0.545384098448891,"recruitment",89
"Scin",-1.9788101010182,-0.0524284070391857,-2.03123850805739,"recruitment",97.4
